Match_ID,Season,Team 1,Team 2,Winner,Venue
25,2013,Delhi Capitals,Mumbai Indians,Mumbai Indians,"Arun Jaitley Stadium, Delhi"
26,2013,Punjab Kings,Chennai Super Kings,Chennai Super Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali"
27,2014,Gujarat Titans,Mumbai Indians,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali"
28,2024,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,"Punjab Cricket Association IS Bindra Stadium, Mohali"
29,2011,Chennai Super Kings,Delhi Capitals,Delhi Capitals,"Wankhede Stadium, Mumbai"
30,2015,Delhi Capitals,Rajasthan Royals,Delhi Capitals,"Wankhede Stadium, Mumbai"
31,2010,Lucknow Super Giants,Mumbai Indians,,"Sawai Mansingh Stadium, Jaipur"
32,2025,Gujarat Titans,Royal Challengers Bangalore,,"Sawai Mansingh Stadium, Jaipur"
33,2025,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,"MA Chidambaram Stadium, Chennai"
34,2022,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,"Rajiv Gandhi International Stadium, Hyderabad"
35,2015,Gujarat Titans,Punjab Kings,Gujarat Titans,"MA Chidambaram Stadium, Chennai"
36,2025,Mumbai Indians,Delhi Capitals,Mumbai Indians,"Ekana Cricket Stadium, Lucknow"
37,2009,Kolkata Knight Riders,Lucknow Super Giants,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bengaluru"
38,2010,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Hyderabad"
39,2014,Gujarat Titans,Kolkata Knight Riders,Kolkata Knight Riders,"Sawai Mansingh Stadium, Jaipur"
40,2023,Gujarat Titans,Royal Challengers Bangalore,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chennai"
41,2021,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,"M Chinnaswamy Stadium, Bengaluru"
42,2009,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,"Sawai Mansingh Stadium, Jaipur"
43,2011,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,"Rajiv Gandhi International Stadium, Hyderabad"
44,2022,Kolkata Knight Riders,Lucknow Super Giants,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali"
45,2022,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,"Narendra Modi Stadium, Ahmedabad"
46,2011,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali"
47,2015,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,"M Chinnaswamy Stadium, Bengaluru"
48,2014,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,"Sawai Mansingh Stadium, Jaipur"
49,2008,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi"
50,2021,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad"
51,2017,Gujarat Titans,Punjab Kings,Gujarat Titans,"MA Chidambaram Stadium, Chennai"
52,2009,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Hyderabad"
53,2024,Chennai Super Kings,Punjab Kings,Chennai Super Kings,"Wankhede Stadium, Mumbai"
54,2010,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,"Ekana Cricket Stadium, Lucknow"
55,2015,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,"Ekana Cricket Stadium, Lucknow"
56,2024,Lucknow Super Giants,Chennai Super Kings,ERROR,"Arun Jaitley Stadium, Delhi"
57,2015,Delhi Capitals,Rajasthan Royals,Delhi Capitals,"Rajiv Gandhi International Stadium, Hyderabad"
58,2022,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad"
59,2011,Delhi Capitals,Mumbai Indians,Delhi Capitals,"Sawai Mansingh Stadium, Jaipur"
60,2016,Mumbai Indians,Gujarat Titans,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali"
61,2019,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chennai"
62,2017,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,"Punjab Cricket Association IS Bindra Stadium, Mohali"
63,2017,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,"Punjab Cricket Association IS Bindra Stadium, Mohali"
64,2011,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru"
65,2014,Gujarat Titans,Royal Challengers Bangalore,Royal Challengers Bangalore,"Narendra Modi Stadium, Ahmedabad"
66,2023,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali"
67,2016,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,"Arun Jaitley Stadium, Delhi"
68,2016,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,"Eden Gardens, Kolkata"
69,2008,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali"
70,2009,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali"
71,2012,Delhi Capitals,Gujarat Titans,Delhi Capitals,"Arun Jaitley Stadium, Delhi"
72,2019,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,"Wankhede Stadium, Mumbai"
73,2025,Kolkata Knight Riders,Lucknow Super Giants,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Hyderabad"
74,2013,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,"Eden Gardens, Kolkata"
75,2021,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Hyderabad"
76,2020,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bengaluru"
77,2022,Chennai Super Kings,Punjab Kings,Chennai Super Kings,"MA Chidambaram Stadium, Chennai"
78,2008,Delhi Capitals,Rajasthan Royals,Delhi Capitals,"MA Chidambaram Stadium, Chennai"
79,2010,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,"Narendra Modi Stadium, Ahmedabad"
80,2018,Rajasthan Royals,Delhi Capitals,Delhi Capitals,"Punjab Cricket Association IS Bindra Stadium, Mohali"
81,2016,Chennai Super Kings,Mumbai Indians,Mumbai Indians,"Eden Gardens, Kolkata"
82,2018,Chennai Super Kings,Mumbai Indians,Mumbai Indians,"Rajiv Gandhi International Stadium, Hyderabad"
83,2014,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi"
84,2024,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,"Wankhede Stadium, Mumbai"
85,2010,Gujarat Titans,Kolkata Knight Riders,Kolkata Knight Riders,"Arun Jaitley Stadium, Delhi"
86,2024,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad"
87,2017,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi"
88,2020,Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans,"Arun Jaitley Stadium, Delhi"
89,2008,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,"Punjab Cricket Association IS Bindra Stadium, Mohali"
90,2018,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,"Arun Jaitley Stadium, Delhi"
91,2024,Punjab Kings,Lucknow Super Giants,Lucknow Super Giants,"MA Chidambaram Stadium, Chennai"
92,2024,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,"Narendra Modi Stadium, Ahmedabad"
93,2017,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,"MA Chidambaram Stadium, Chennai"
94,2009,Kolkata Knight Riders,Lucknow Super Giants,Kolkata Knight Riders,"Wankhede Stadium, Mumbai"
95,2021,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,"Sawai Mansingh Stadium, Jaipur"
96,2020,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,"Sawai Mansingh Stadium, Jaipur"
97,2021,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bengaluru"
98,2025,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai"
99,2022,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,"Eden Gardens, Kolkata"
100,2024,Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur"
101,2023,Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,"Eden Gardens, Kolkata"
102,2024,Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,"Eden Gardens, Kolkata"
103,2010,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,"Sawai Mansingh Stadium, Jaipur"
104,2018,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Hyderabad"
105,2015,Gujarat Titans,Mumbai Indians,Gujarat Titans,"Eden Gardens, Kolkata"
106,2021,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,"M Chinnaswamy Stadium, Bengaluru"
107,2009,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,"Arun Jaitley Stadium, Delhi"
108,2008,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,"Ekana Cricket Stadium, Lucknow"
109,2019,Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai"
110,2025,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali"
111,2016,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,"MA Chidambaram Stadium, Chennai"
112,2018,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi"
113,2025,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,"Eden Gardens, Kolkata"
114,2021,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,"M Chinnaswamy Stadium, Bengaluru"
115,2016,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai"
116,2018,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,"Sawai Mansingh Stadium, Jaipur"
117,2016,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi"
118,2009,Mumbai Indians,Punjab Kings,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali"
119,2008,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,"Wankhede Stadium, Mumbai"
120,2012,Kolkata Knight Riders,Lucknow Super Giants,Kolkata Knight Riders,"Ekana Cricket Stadium, Lucknow"
121,2014,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru"
122,2011,Punjab Kings,Rajasthan Royals,Rajasthan Royals,"Eden Gardens, Kolkata"
123,2008,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,"Ekana Cricket Stadium, Lucknow"
124,2010,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chennai"
125,2011,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,"Narendra Modi Stadium, Ahmedabad"
126,2021,Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali"
127,2021,Delhi Capitals,Mumbai Indians,Mumbai Indians,"Wankhede Stadium, Mumbai"
128,2022,Punjab Kings,Mumbai Indians,Mumbai Indians,"Rajiv Gandhi International Stadium, Hyderabad"
129,2016,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,"Punjab Cricket Association IS Bindra Stadium, Mohali"
130,2021,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur"
131,2010,Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,"MA Chidambaram Stadium, Chennai"
132,2020,Rajasthan Royals,Punjab Kings,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur"
133,2013,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,"Rajiv Gandhi International Stadium, Hyderabad"
134,2018,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,"Narendra Modi Stadium, Ahmedabad"
135,2014,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,"Punjab Cricket Association IS Bindra Stadium, Mohali"
136,2025,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,"Sawai Mansingh Stadium, Jaipur"
137,2008,Kolkata Knight Riders,Punjab Kings,Punjab Kings,"Sawai Mansingh Stadium, Jaipur"
138,2015,Mumbai Indians,Rajasthan Royals,Mumbai Indians,"Arun Jaitley Stadium, Delhi"
139,2024,Rajasthan Royals,Delhi Capitals,Delhi Capitals,"Punjab Cricket Association IS Bindra Stadium, Mohali"
140,2022,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Hyderabad"
141,2011,Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,"MA Chidambaram Stadium, Chennai"
142,2013,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali"
143,2024,Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,"Narendra Modi Stadium, Ahmedabad"
144,2017,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,"MA Chidambaram Stadium, Chennai"
145,2008,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,"Narendra Modi Stadium, Ahmedabad"
146,2009,Gujarat Titans,Royal Challengers Bangalore,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai"
147,2011,Gujarat Titans,Rajasthan Royals,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur"
148,2022,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur"
149,2023,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad"
150,2010,Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur"
151,2017,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,"Eden Gardens, Kolkata"
152,2021,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali"
153,2022,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,"Sawai Mansingh Stadium, Jaipur"
154,2009,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,"Ekana Cricket Stadium, Lucknow"
155,2016,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,"MA Chidambaram Stadium, Chennai"
156,2025,Mumbai Indians,Royal Challengers Bangalore,ERROR,"Eden Gardens, Kolkata"
157,2022,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,"Arun Jaitley Stadium, Delhi"
158,2015,Lucknow Super Giants,Punjab Kings,Punjab Kings,"Wankhede Stadium, Mumbai"
159,2015,Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,"M Chinnaswamy Stadium, Bengaluru"
160,2025,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bengaluru"
161,2010,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,"Eden Gardens, Kolkata"
162,2017,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,"Ekana Cricket Stadium, Lucknow"
163,2020,Punjab Kings,Mumbai Indians,Mumbai Indians,"Narendra Modi Stadium, Ahmedabad"
164,2010,Rajasthan Royals,Gujarat Titans,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur"
165,2016,Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings,"Rajiv Gandhi International Stadium, Hyderabad"
166,2008,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,"Ekana Cricket Stadium, Lucknow"
167,2024,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur"
168,2021,Punjab Kings,Rajasthan Royals,Punjab Kings,"Ekana Cricket Stadium, Lucknow"
169,2021,Punjab Kings,Mumbai Indians,Mumbai Indians,"Rajiv Gandhi International Stadium, Hyderabad"
170,2018,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,"Eden Gardens, Kolkata"
171,2025,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,"Arun Jaitley Stadium, Delhi"
172,2016,Chennai Super Kings,Punjab Kings,Chennai Super Kings,"Rajiv Gandhi International Stadium, Hyderabad"
173,2008,Delhi Capitals,Mumbai Indians,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali"
174,2014,Gujarat Titans,Punjab Kings,Punjab Kings,"Wankhede Stadium, Mumbai"
175,2009,Gujarat Titans,Delhi Capitals,Delhi Capitals,"Sawai Mansingh Stadium, Jaipur"
176,2022,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,"Narendra Modi Stadium, Ahmedabad"
177,2015,Punjab Kings,Mumbai Indians,Punjab Kings,"Ekana Cricket Stadium, Lucknow"
178,2021,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,"Punjab Cricket Association IS Bindra Stadium, Mohali"
179,2011,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,"Sawai Mansingh Stadium, Jaipur"
180,2016,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali"
181,2022,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,"MA Chidambaram Stadium, Chennai"
182,2024,Gujarat Titans,Royal Challengers Bangalore,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chennai"
183,2018,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,"Arun Jaitley Stadium, Delhi"
184,2017,Gujarat Titans,Rajasthan Royals,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad"
185,2025,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur"
186,2025,Punjab Kings,Delhi Capitals,Delhi Capitals,"Punjab Cricket Association IS Bindra Stadium, Mohali"
187,2015,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,"MA Chidambaram Stadium, Chennai"
188,2009,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,"Arun Jaitley Stadium, Delhi"
189,2012,Delhi Capitals,Punjab Kings,Punjab Kings,"Arun Jaitley Stadium, Delhi"
190,2018,Punjab Kings,Chennai Super Kings,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali"
191,2022,Mumbai Indians,Punjab Kings,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali"
192,2010,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,"Eden Gardens, Kolkata"
193,2020,Punjab Kings,Rajasthan Royals,Rajasthan Royals,"Ekana Cricket Stadium, Lucknow"
194,2023,Mumbai Indians,Delhi Capitals,Delhi Capitals,"Rajiv Gandhi International Stadium, Hyderabad"
195,2017,Gujarat Titans,Chennai Super Kings,Gujarat Titans,"MA Chidambaram Stadium, Chennai"
196,2011,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,"M Chinnaswamy Stadium, Bengaluru"
197,2009,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai"
198,2019,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,"Rajiv Gandhi International Stadium, Hyderabad"
199,2021,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali"
200,2010,Lucknow Super Giants,Royal Challengers Bangalore,Lucknow Super Giants,"Eden Gardens, Kolkata"
201,2012,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur"
202,2016,Kolkata Knight Riders,Punjab Kings,Punjab Kings,"Sawai Mansingh Stadium, Jaipur"
203,2013,Chennai Super Kings,Punjab Kings,,"Punjab Cricket Association IS Bindra Stadium, Mohali"
204,2017,Mumbai Indians,Punjab Kings,Punjab Kings,"Ekana Cricket Stadium, Lucknow"
205,2014,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad"
206,2020,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chennai"
207,2008,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad"
208,2009,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,"Ekana Cricket Stadium, Lucknow"
209,2019,Lucknow Super Giants,Punjab Kings,Punjab Kings,"MA Chidambaram Stadium, Chennai"
210,2011,Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,"Eden Gardens, Kolkata"
211,2019,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,"Wankhede Stadium, Mumbai"
212,2021,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,"Rajiv Gandhi International Stadium, Hyderabad"
213,2019,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,"Punjab Cricket Association IS Bindra Stadium, Mohali"
214,2016,Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants,"Eden Gardens, Kolkata"
215,2022,Punjab Kings,Rajasthan Royals,Rajasthan Royals,"M Chinnaswamy Stadium, Bengaluru"
216,2025,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,"Arun Jaitley Stadium, Delhi"
217,2016,Delhi Capitals,Mumbai Indians,Mumbai Indians,"Wankhede Stadium, Mumbai"
218,2016,Gujarat Titans,Mumbai Indians,Mumbai Indians,"Rajiv Gandhi International Stadium, Hyderabad"
219,2015,Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad,"M Chinnaswamy Stadium, Bengaluru"
220,2015,Punjab Kings,Chennai Super Kings,Chennai Super Kings,"Ekana Cricket Stadium, Lucknow"
221,2011,Mumbai Indians,Punjab Kings,Punjab Kings,"Arun Jaitley Stadium, Delhi"
222,2023,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,"Narendra Modi Stadium, Ahmedabad"
223,2012,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali"
224,2021,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali"
225,2023,Lucknow Super Giants,Royal Challengers Bangalore,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru"
226,2019,Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai"
227,2019,Kolkata Knight Riders,Punjab Kings,Punjab Kings,"MA Chidambaram Stadium, Chennai"
228,2020,Mumbai Indians,Delhi Capitals,Delhi Capitals,"Wankhede Stadium, Mumbai"
229,2010,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur"
230,2015,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Hyderabad"
231,2014,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,"Punjab Cricket Association IS Bindra Stadium, Mohali"
232,2012,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,"Rajiv Gandhi International Stadium, Hyderabad"
233,2012,Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings,"Eden Gardens, Kolkata"
234,2008,Gujarat Titans,Rajasthan Royals,Gujarat Titans,"M Chinnaswamy Stadium, Bengaluru"
235,2018,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,"MA Chidambaram Stadium, Chennai"
236,2012,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai"
237,2023,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,"M Chinnaswamy Stadium, Bengaluru"
238,2024,Punjab Kings,Delhi Capitals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur"
